1.000000e-04  4.999666e-01 1.001907e-04  -3.444207e-05 1.001959e-04
1.151395e-04  5.001168e-01 9.679889e-05  +1.157916e-04 9.680423e-05
1.325711e-04  4.999661e-01 9.406264e-05  -3.490321e-05 9.406813e-05
1.526418e-04  5.001535e-01 9.151314e-05  +1.524388e-04 9.151879e-05
1.757511e-04  4.999593e-01 8.914715e-05  -4.170015e-05 8.915294e-05
2.023590e-04  5.000198e-01 8.632045e-05  +1.872077e-05 8.632644e-05
2.329952e-04  4.999290e-01 8.426489e-05  -7.207078e-05 8.427102e-05
2.682696e-04  5.000133e-01 8.192927e-05  +1.227619e-05 8.193557e-05
3.088844e-04  5.000890e-01 7.931065e-05  +8.793763e-05 7.931717e-05
3.556480e-04  4.999466e-01 7.706890e-05  -5.446277e-05 7.707561e-05
4.094915e-04  5.000640e-01 7.481692e-05  +6.292209e-05 7.482383e-05
4.714866e-04  5.001012e-01 7.233136e-05  +1.001707e-04 7.233851e-05
5.428675e-04  5.001559e-01 7.044226e-05  +1.548388e-04 7.044959e-05
6.250552e-04  4.998980e-01 6.832733e-05  -1.030930e-04 6.833490e-05
7.196857e-04  5.001443e-01 6.576631e-05  +1.432382e-04 6.577417e-05
8.286428e-04  5.000168e-01 6.392413e-05  +1.571118e-05 6.393221e-05
9.540955e-04  5.001016e-01 6.164794e-05  +1.005825e-04 6.165632e-05
1.098541e-03  4.999890e-01 5.947317e-05  -1.200899e-05 5.948186e-05
1.264855e-03  5.000695e-01 5.760245e-05  +6.845470e-05 5.761142e-05
1.456348e-03  4.999367e-01 5.619528e-05  -6.431996e-05 5.620448e-05
1.676833e-03  5.000174e-01 5.362736e-05  +1.640133e-05 5.363699e-05
1.930698e-03  5.000521e-01 5.211340e-05  +5.105174e-05 5.212332e-05
2.222996e-03  4.999223e-01 5.009168e-05  -7.875309e-05 5.010200e-05
2.559548e-03  4.999876e-01 4.845392e-05  -1.341613e-05 4.846459e-05
2.947052e-03  5.000249e-01 4.666894e-05  +2.386987e-05 4.668001e-05
3.393222e-03  4.999771e-01 4.478108e-05  -2.395890e-05 4.479262e-05
3.906940e-03  5.000533e-01 4.314160e-05  +5.221380e-05 4.315358e-05
4.498433e-03  5.000487e-01 4.128457e-05  +4.767199e-05 4.129709e-05
5.179475e-03  5.000447e-01 3.975464e-05  +4.363521e-05 3.976764e-05
5.963623e-03  5.000132e-01 3.801185e-05  +1.214370e-05 3.802544e-05
6.866488e-03  5.000305e-01 3.657972e-05  +2.942995e-05 3.659385e-05
7.906043e-03  5.000740e-01 3.455563e-05  +7.296124e-05 3.457058e-05
9.102982e-03  5.000597e-01 3.332521e-05  +5.860790e-05 3.334071e-05
1.048113e-02  5.000746e-01 3.165327e-05  +7.358232e-05 3.166959e-05
1.206793e-02  5.000793e-01 3.016654e-05  +7.826031e-05 3.018367e-05
1.389495e-02  5.000915e-01 2.887644e-05  +9.049025e-05 2.889433e-05
1.599859e-02  5.001538e-01 2.729387e-05  +1.527748e-04 2.731280e-05
1.842070e-02  5.001857e-01 2.612684e-05  +1.846164e-04 2.614661e-05
2.120951e-02  5.002185e-01 2.468974e-05  +2.174110e-04 2.471066e-05
2.442053e-02  5.003047e-01 2.339153e-05  +3.036966e-04 2.341361e-05
2.811769e-02  5.003840e-01 2.211980e-05  +3.829864e-04 2.214315e-05
3.237458e-02  5.005020e-01 2.073871e-05  +5.009474e-04 2.076362e-05
3.727594e-02  5.007083e-01 1.961307e-05  +7.072471e-04 1.963940e-05
4.291934e-02  5.009111e-01 1.838662e-05  +9.100416e-04 1.841470e-05
4.941713e-02  5.012140e-01 1.712411e-05  +1.213001e-03 1.715427e-05
5.689866e-02  5.016408e-01 1.581775e-05  +1.639804e-03 1.585039e-05
6.551286e-02  5.021357e-01 1.473194e-05  +2.134615e-03 1.476698e-05
7.543120e-02  5.028495e-01 1.363126e-05  +2.848443e-03 1.366912e-05
8.685114e-02  5.037607e-01 1.255129e-05  +3.759661e-03 1.259240e-05
1.000000e-01  5.049868e-01 1.155537e-05  +4.985751e-03 1.160000e-05
